Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
0.0;-22.067810495275836;-14.430196688411918;119.99999999999932;150.0;3.457908869820643;0.0
0.01;-21.741128944809816;-14.161584329424976;120.0;150.0;3.4509994321975337;0.5616120957536286
0.02;-21.425081797400146;-13.902797612778869;119.99999999999932;150.0;3.44434273671594;1.1221020035346765
0.03;-21.118967787389543;-13.653184683395152;120.0;150.0;3.4379220158972714;1.681510772153024
0.04;-20.822153687441435;-13.412157111502143;120.0;150.0;3.431722133733509;2.2398767271487534
0.05;-20.534065549921348;-13.179181705615859;120.0;150.0;3.425729375095117;2.797235735765472
0.06;-20.25418154457713;-12.953773838147134;120.0;150.0;3.419931274047531;3.3536214377205753
0.07;-19.98202579140455;-12.735491683909151;119.99999999999997;150.0;3.414316465649876;3.9090654480917433
0.08;-19.717163082864985;-12.523931298669599;120.0;150.0;3.408874559362126;4.463597536133499
0.09;-19.459194353466515;-12.318722392726642;119.99999999999909;150.0;3.403596030329883;5.017245783533348
0.1;-19.20774948744657;-12.119521567980714;120.0;150.0;3.3984720454237394;5.570036725011064
0.11;-18.962500342380437;-11.926024734744319;120.0;150.0;3.393494782632996;6.121995460664367
0.12;-18.723123976450925;-11.73793226272595;119.99999999999957;150.0;3.3886565346547664;6.673145820188554
0.13;-18.489337716968937;-11.55498230444595;119.99999999999994;150.0;3.3839505660624924;7.223510381506622
0.14;-18.260870852826443;-11.376923968351774;119.99999999999999;150.0;3.3793704232456783;7.773110628615392
0.15;-18.037475523188952;-11.203527688287975;120.0;150.0;3.37491020114085;8.321966997356329
0.16;-17.818920135880862;-11.034579006985362;120.0;150.0;3.3705643833260113;8.870098964507136
0.17;-17.60498877256437;-10.86987803827722;120.0;150.0;3.366327828187406;9.417525110902497
0.18;-17.395479891736784;-10.709238261403573;119.99999999999996;150.0;3.3621957379057457;9.964263182308105
0.19;-17.19020498252534;-10.552485264145007;119.99999999999997;150.0;3.3581636261262195;10.510330145257624
0.2;-16.988987259845366;-10.39945552496072;120.0;150.0;3.354227286631767;11.055742237638814
