LyoPRONTO Parameter Estimation Results
Generated: 2025-10-02 18:27:11

Estimated Parameters
R0 [cm²·hr·Torr/g],0.020892795981931313
A1 [cm·hr·Torr/g],7.843317809906947
A2 [1/cm],0.50813989753207

Standard Errors
σ(R0),0.041578275130411
σ(A1),0.47963956856463896
σ(A2),0.14421644158290062

Time [hr],Sublimation Temp [°C],Vial Bottom Temp [°C],Shelf Temp [°C],Chamber Pressure [mTorr],Sublimation Flux [kg/hr/m²],Fraction Dried
0.0,-37.663984460557025,-37.52076775,-35.0,150.0,0.06484097603224068,0.0
0.01,-37.49147056769655,-37.35754161,-35.0,150.0,0.06064235748375451,0.010531068865925988
0.02,-37.35751507391703,-37.19854872,-34.4,150.0,0.07198625517109938,0.020380224167597844
0.03,-37.22780461639758,-37.0435806,-33.8,150.0,0.08343368084713285,0.03207178492124881
0.04,-37.10213344713384,-36.89244399,-33.2,150.0,0.09497966334105244,0.045622565500214186
0.05,-36.98031030436499,-36.74495937,-32.6,150.0,0.1066195849120916,0.06104857289112305
0.06,-36.86215709352463,-36.60095971,-32.0,150.0,0.11834914909611229,0.07836506409581104
0.07,-36.747507663143345,-36.46028931,-31.4,150.0,0.13016435086727848,0.09758659831107618
0.08,-36.636206749695674,-36.3228028,-30.8,150.0,0.14206145091534175,0.11872708426227899
0.09,-36.528108996296346,-36.18836421,-30.2,150.0,0.15403695172351511,0.14179982335921895
0.1,-36.42307814036677,-36.0568462,-29.6,150.0,0.1660875777620008,0.16681754896672782
0.11,-36.320986243470514,-35.92812933,-29.0,150.0,0.1782102567104021,0.19379246245841827
0.12,-36.22171300559897,-35.80210141,-28.4,150.0,0.1904021027379585,0.22273626622069392
0.13,-36.12514513221423,-35.6786569,-27.8,150.0,0.20266040106993316,0.2536601939412382
0.14,-36.031175849156945,-35.55769645,-27.2,150.0,0.2149825961551612,0.2865750383908722
0.15,-35.93970431182068,-35.43912634,-26.6,150.0,0.22736627726132286,0.32149117728365867
0.16,-35.85063525730296,-35.32285815,-26.0,150.0,0.23980916998646257,0.3584185967974805
0.17,-35.76387847687171,-35.20880826,-25.4,150.0,0.2523091233976287,0.3973669137159716
0.18,-35.67934857367601,-35.09689762,-24.799999999999997,150.0,0.2648641041146552,0.43834539548158635
0.19,-35.596964509087734,-34.98705132,-24.200000000000003,150.0,0.27747218524938916,0.4813629792877942
0.2,-35.51664937089231,-34.87919837,-23.6,150.0,0.29013154074669134,0.5264282893748502
0.21,-35.43833004634897,-34.77327139,-23.0,150.0,0.3028404374104144,0.5735496534064679
0.22,-35.36193700087394,-34.6692064,-22.4,150.0,0.3155972295016194,0.6227351175514008
0.23,-35.28740400386718,-34.56694256,-21.8,150.0,0.32840035205066836,0.6739924606876982
0.24,-35.214667939032935,-34.46642199,-21.2,150.0,0.3412483162271468,0.727329207520755
